"Valiutos pavadinimas";"Valiutos kodas";"Santykis";"Data"
"Australijos doleris";"AUD";"1,5502";"2015-10-09"
"Bulgarijos levas";"BGN";"1,9558";"2015-10-09"
"Brazilijos realas";"BRL";"4,2601";"2015-10-09"
"Kanados doleris";"CAD";"1,4698";"2015-10-09"
"Šveicarijos frankas";"CHF";"1,0919";"2015-10-09"
"Kinijos  ženminbi juanis";"CNY";"7,2094";"2015-10-09"
"Čekijos krona";"CZK";"27,109";"2015-10-09"
"Danijos krona";"DKK";"7,4599";"2015-10-09"
"Didžiosios Britanijos svaras sterlingų";"GBP";"0,7407";"2015-10-09"
"Honkongo doleris";"HKD";"8,8057";"2015-10-09"
"Kroatijos kuna";"HRK";"7,629";"2015-10-09"
"Vengrijos forintas";"HUF";"311,59";"2015-10-09"
"Indonezijos rupija";"IDR";"15346,5";"2015-10-09"
"Izraelio  naujasis šekelis";"ILS";"4,345";"2015-10-09"
"Indijos rupija";"INR";"73,6258";"2015-10-09"
"Japonijos jena";"JPY";"136,65";"2015-10-09"
"Pietų Korėjos vonas";"KRW";"1298,05";"2015-10-09"
"Meksikos pesas";"MXN";"18,6271";"2015-10-09"
"Malaizijos ringitas";"MYR";"4,6919";"2015-10-09"
"Norvegijos krona";"NOK";"9,1895";"2015-10-09"
"Naujosios Zelandijos doleris";"NZD";"1,6964";"2015-10-09"
"Filipinų pesas";"PHP";"51,945";"2015-10-09"
"Lenkijos zlotas";"PLN";"4,217";"2015-10-09"
"Rumunijos lėja";"RON";"4,415";"2015-10-09"
"Rusijos rublis";"RUB";"69,364";"2015-10-09"
"Švedijos krona";"SEK";"9,2683";"2015-10-09"
"Singapūro doleris";"SGD";"1,5855";"2015-10-09"
"Tailando batas";"THB";"40,392";"2015-10-09"
"Turkijos lira";"TRY";"3,2973";"2015-10-09"
"JAV doleris";"USD";"1,1362";"2015-10-09"
"Pietų Afrikos Respublikos randas";"ZAR";"15,0674";"2015-10-09"
